x,y,error
-78.0116901116,33.9975973854,11.2220703191
-78.0124866754,33.9953600894,10.591039462
-78.013031536,33.9934618168,10.4109573571
-78.0136484159,33.9916256537,10.5892220512
-78.0142511601,33.9899588201,10.40028415
-78.0162317123,33.9897765087,10.7605921383
-78.0182374241,33.9895667377,11.0164672996
-78.0199891353,33.9889907206,10.9405478629
-78.0203582261,33.9874334256,11.0580008291
-78.0219865427,33.9869626727,10.8548666105
-78.0226578821,33.9853959555,10.4534970814
-78.0236740151,33.9835956106,10.7077634163
-78.0254218122,33.9834677043,10.6806108608
-78.0275653758,33.9828933503,10.9890025143
-78.0277461647,33.9807757871,10.9245145379
-78.0307379566,33.9796231725,11.6739071338
-78.0305453608,33.9765990362,11.2559046476
-78.0326916863,33.9742054895,10.7687279981
-78.0356468651,33.9738842561,11.1276639768
-78.038764461,33.9733503592,11.7073629015
-78.039864,33.968689,10.7735020628
-78.043228,33.968159,10.3977377805
-78.046638,33.96743,10.4569137167
-78.050079,33.966541,10.8796814043
-78.053558,33.965599,11.5478012316
-78.05706,33.964588,12.5175845991
-78.060509,33.963039,13.3551436682
-78.06411,33.962101,13.7133810202
-78.067261,33.960419,13.4723645549
-78.070457,33.95829,12.7258173484
-78.073486,33.961601,13.612477408
-78.076797,33.960918,13.4991208488
-78.079872,33.959919,13.1775927255
-78.082573,33.959099,12.453760279
-78.084953,33.958351,12.2753623796
-78.087624,33.957909,12.9611314154
-78.090714,33.957699,14.4220939386
-78.094141,33.95704,14.6608736916
-78.097177,33.955382,14.2833098978
-78.100106,33.957453,14.7745991601
-78.103357,33.956449,14.7672783904
-78.106112,33.954704,14.7429491557
-78.109306,33.954858,15.3132294503
-78.113016,33.954324,16.0260595037
-78.116579,33.953379,17.0357626345
-78.119345,33.951798,16.7768584564
-78.122354,33.95187,16.1718633723
-78.125689,33.951037,16.3454444444
-78.128831,33.949864,17.3737009612
-78.132204,33.952609,18.253228128
